Term (English),Abbreviation,Type,Term (Malay),Term (Chinese),Term (Tamil),Short Description (English),Category,Administering Agency,Source URL,CSV Alias (variant spelling),Usage Notes,Translation Status
2024 MediSave Bonus,,Scheme,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
2024 Public Transport Voucher (PTV) Exercise,PTV,Scheme,,,,,Transport,,,,,Needs sourcing
2025 MediSave Bonus,,Scheme,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
5-Year MediSave Top-up Scheme,,Scheme,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
ABSD Concession for Single Singapore Citizen Seniors,,Scheme,,,,,Housing,,,,,Needs sourcing
ActiveSG Membership,,Scheme,,,,,Others,,,,,Needs sourcing
Additional Premium Support for MediShield Life and CareShield Life,,Scheme,,,,,Healthcare & Elderly Care,,,,,Needs sourcing
Additional Service and Conservancy Charges (S&CC) Rebate,S&CC,Scheme,Rebat S&CC,组屋杂费回扣,"சேவை, பராமரிப்புக் கட்டணத் தள்ளுபடி",,Cost of Living Support,,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf,,,Research-verified
Additional U-Save Rebates for carbon tax and water price,,Scheme,U-Save,水电费回扣,யு-சேவ்,,Cost of Living Support,,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf,,Base U-Save term,Research-verified
Adoption Leave for Mothers (AL),AL,Scheme,,,,,Family & Children,,,,,Needs sourcing
Application for Deceased's Unnominated CPF Monies,,Scheme,,,,,Legal & Estate Planning,,,,,Needs sourcing
Assistance Scheme for Second Timers (Divorced/Widowed Parents) (ASSIST),ASSIST,Scheme,,,,,Housing,,,,,Needs sourcing
Assisted Deputyship Application Programme (ADAP),ADAP,Scheme,,,,,Legal & Estate Planning,,,,,Needs sourcing
Assistive Technology Fund (ATF),ATF,Scheme,Dana Teknologi Bantu,科技辅助基金,,Fund subsidising the cost of assistive technology devices for persons with disabilities to enable greater independence,Disability Support,SG Enable,https://www.sgenable.sg/programmes/Employment/Pages/Assistive-Technology-Fund.aspx | https://www.translatedterms.gov.sg,Assistive Technology Fund,,CSV-verified
Assurance Package (AP) Cash,AP,Scheme,Wang Tunai [Pakej Jaminan],现金补助 [定心与援助配套],ரொக்கம் [உத்தரவாதத் தொகுப்புத்திட்டம்],Cash payout component of the Assurance Package for eligible Singaporeans,Cost of Living Support,Ministry of Finance,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,Assurance Package – Cash,,CSV-verified
Assurance Package (AP) Cash Special Payment,AP,Scheme,,,,,Cost of Living Support,,,,Dated one-off; not separately translated. AP Cash base = 现金补助 [定心与援助配套],No official translation found
Assurance Package (AP) MediSave,AP,Scheme,MediSave,保健储蓄,மெடிசேவ்,,Cost of Living Support,,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf,,MediSave component word (AP package = 定心与援助配套 / Pakej Jaminan); not a distinct AP-MediSave title,Research-verified (partial)
Assurance Package (AP) Seniors' Bonus,AP,Scheme,,,,,Cost of Living Support,,,,Not published as a discrete translated term in FY2025 booklet,No official translation found
